ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
1395;Takefusa Kubo;jp JPN;FW,MF;Real Sociedad;es La Liga;22;2001;30;24;2150;7;4;11;7;1;0;3.5;6.4
1396;Mahmut Kücüksahin;;MF;Augsburg;de Bundesliga;19;2004;1;0;1;0;0;0;0;0;0;0.0;0.0
1397;Mohammed Kudus;gh GHA;FW,MF;West Ham;eng Premier League;22;2000;33;27;2484;8;6;14;8;6;0;5.1;3.5
1398;Christian Kühlwetter;de GER;MF;Heidenheim;de Bundesliga;27;1996;1;0;8;0;1;1;0;0;0;0.0;0.6
1399;Dejan Kulusevski;se SWE;FW,MF;Tottenham;eng Premier League;23;2000;36;31;2762;8;3;11;8;7;0;4.7;7.7
1400;Sael Kumbedi;fr FRA;DF;Lyon;fr Ligue 1;18;2005;17;8;924;0;1;1;0;3;0;0.2;0.7
1401;Marash Kumbulla;al ALB;DF;Sassuolo;it Serie A;23;2000;7;3;362;0;0;0;0;1;0;0.0;0.0
1402;Justin Kumi;it ITA;FW;Sassuolo;it Serie A;19;2004;1;0;4;0;0;0;0;0;0;0.0;0.0
1403;Layvin Kurzawa;fr FRA;DF;Paris S-G;fr Ligue 1;30;1992;1;0;9;0;0;0;0;0;0;0.0;0.0
1404;Berkan Kutlu;tr TUR;MF;Genoa;it Serie A;25;1998;6;0;199;0;0;0;0;0;0;0.2;0.3
1405;Daler Kuzyaev;ru RUS;MF;Le Havre;fr Ligue 1;30;1993;30;24;2090;2;2;4;2;1;0;1.8;1.3
1406;Khvicha Kvaratskhelia;ge GEO;FW;Napoli;it Serie A;22;2001;34;32;2737;11;6;17;11;8;0;11.1;6.8
1407;Giorgi Kvernadze;ge GEO;FW,DF;Frosinone;it Serie A;20;2003;5;0;63;0;0;0;0;0;0;0.0;0.0
1408;Moritz-Broni Kwarteng;gh GHA;FW;Bochum;de Bundesliga;25;1998;11;2;281;0;1;1;0;1;1;1.0;0.5
1409;Grejohn Kyei;fr FRA;FW;Clermont Foot;fr Ligue 1;27;1995;26;10;1026;2;1;3;1;1;0;4.9;1.2
1410;Giorgos Kyriakopoulos;gr GRE;DF;Monza;it Serie A;27;1996;28;20;1712;0;3;3;0;3;0;1.2;1.4
1411;Luca de la Torre;us USA;MF;Celta Vigo;es La Liga;25;1998;31;22;1956;1;4;5;1;4;1;2.5;1.4
1412;Gaëtan Laborde;fr FRA;FW,MF;Nice;fr Ligue 1;29;1994;34;22;1906;5;2;7;4;2;0;7.7;1.8
1413;Alexandre Lacazette;fr FRA;FW;Lyon;fr Ligue 1;32;1991;29;27;2293;19;2;21;17;3;1;11.4;1.9
1414;Maxence Lacroix;fr FRA;DF;Wolfsburg;de Bundesliga;23;2000;28;27;2362;4;1;5;4;5;3;0.8;0.8
